first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,value_per_m
David,Raya Martín,0,0,30,450,4,0.2,84.0,0.0,3,104,8.5,3,0,0,41.6,60,GK,5.0
Kepa,Arrizabalaga Revuelta,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,49,GK,0.0
Illan,Meslier,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,GK,0.0
Gabriel,dos Santos Magalhães,0,0,25,450,4,8.9,69.0,84.0,2,91,16.1,3,0,2,23.0,80,DEF,3.1
Jurriën,Timber,0,0,1,104,3,1.9,6.0,0.0,0,-3,0.8,0,0,0,0.3,65,DEF,0.2
William,Saliba,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,59,DEF,0.0
Myles,Lewis-Skelly,0,0,9,271,1,40.2,21.6,16.0,0,37,7.0,2,0,0,0.6,55,MID,1.6
Riccardo,Calafiori,0,2,29,416,4,29.0,60.4,46.0,2,77,13.6,3,0,0,50.7,58,DEF,5.0
Piero,Hincapié,0,0,2,32,0,1.0,6.4,2.0,0,6,1.0,0,0,0,0.9,53,DEF,0.4
Benjamin,White,0,1,21,315,1,53.0,69.6,29.0,3,78,15.2,2,0,0,5.5,55,DEF,3.8
Cristhian,Mosquera,0,0,12,168,0,2.0,24.6,0.0,0,52,2.7,2,0,0,1.7,53,DEF,2.3
Bukayo,Saka,3,0,32,416,4,78.8,139.8,204.0,4,137,42.2,3,0,0,13.2,95,MID,3.4
Declan,Rice,0,2,20,411,4,90.3,109.6,4.0,0,91,20.4,3,0,1,12.4,74,MID,2.7
Eberechi,Eze,0,0,4,85,0,3.8,1.8,5.0,0,18,0.9,0,0,0,1.0,63,MID,0.6
Martin,Ødegaard,2,0,29,377,4,160.7,121.8,68.0,6,137,35.1,3,0,0,20.0,68,MID,4.3
Noni,Madueke,0,0,2,23,0,43.9,11.6,0.0,0,11,5.6,0,0,0,0.2,62,MID,0.3
Mikel,Merino Zazón,0,0,4,81,0,3.4,6.6,14.0,0,19,2.4,0,0,1,0.4,58,MID,0.7
Gabriel,Martinelli Silva,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,63,MID,0.0
Martín,Zubimendi Ibáñez,0,0,5,89,0,4.2,13.4,11.0,0,18,2.9,0,0,0,0.6,53,MID,0.9
Max,Dowman,0,0,1,9,0,0.0,0.0,0.0,0,5,0.0,0,0,0,0.1,53,MID,0.2
Ethan,Nwaneri,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54,MID,0.0
Fábio,Ferreira Vieira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55,MID,0.0
Reiss,Nelson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55,MID,0.0
Viktor,Gyökeres,0,0,2,29,0,0.1,0.0,0.0,0,6,0.0,0,0,0,3.1,72,FWD,0.3
