name,position,team,xP,assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Sean Neave,FWD,Newcastle,0.0,0,0,0,0,0,0.0,0,466,0.00,0.00,0.00,0.00,27,0,0,0.0,0.0,2026-09-05T11:30:00Z,0,False,3,0,0,0,0,0,3,0,87795,0,0,2,2,0.0,0,3928,17327,13399,45,True,0
Ismaïla Sarr,MID,Crystal Palace,0.0,0,0,0,0,0,0.0,0,208,0.00,0.00,0.00,0.00,24,0,0,0.0,0.0,2026-09-05T14:00:00Z,0,False,10,0,0,0,0,0,3,0,109790,0,0,3,2,0.0,0,-118099,330,118429,63,False,0
Martín Zubimendi Ibáñez,MID,Arsenal,1.0,0,0,1,0,4,0.8,4,19,0.02,0.10,0.08,0.13,29,0,0,1.3,1.4,2026-09-06T15:30:00Z,23,False,6,0,0,0,0,0,3,0,80922,0,0,1,2,11.0,1,-16532,3485,20017,54,True,0
Tyrique George,MID,Everton,3.8,0,3,35,0,1,34.4,4,242,0.07,0.11,0.04,0.69,30,2,1,10.4,44.2,2026-09-06T13:00:00Z,90,False,16,0,0,0,3,0,3,0,25310,1,0,2,2,25.0,10,-3040,1760,4800,55,True,0
Xaver Schlager,MID,Nott'm Forest,2.2,0,0,18,1,3,2.3,10,558,0.06,0.09,0.03,1.06,28,0,0,1.5,11.2,2026-09-05T14:00:00Z,90,False,19,0,0,0,3,0,3,0,10377,1,4,0,0,1.0,3,99,1419,1320,50,True,0
Matt O'Riley,MID,Brighton,0.4,0,0,0,0,0,0.0,0,126,0.00,0.00,0.00,0.00,23,0,0,0.0,0.0,2026-09-05T14:00:00Z,0,False,13,0,0,0,0,0,3,0,10276,0,0,1,1,0.0,0,-909,1040,1949,55,True,0
Jamie Bynoe-Gittens,MID,Chelsea,0.0,0,0,0,0,0,0.0,0,158,0.00,0.00,0.00,0.00,29,0,0,0.0,0.0,2026-09-06T15:30:00Z,0,False,1,0,0,0,0,0,3,0,2954,0,0,1,2,0.0,0,-715,260,975,59,False,0
António João Pereira de Albuquerque Tavares da Silva,DEF,Bournemouth,2.0,0,0,8,0,7,1.2,8,566,0.01,0.03,0.02,0.71,27,2,0,4.2,23.8,2026-09-05T11:30:00Z,90,False,17,0,0,0,2,0,3,0,43269,1,1,2,2,17.0,1,3048,9722,6674,50,False,0
Kai Andrews,MID,Coventry City,0.0,0,0,0,0,0,0.0,0,192,0.00,0.00,0.00,0.00,26,0,0,0.0,0.0,2026-09-05T14:00:00Z,0,False,15,0,0,0,0,0,3,0,44026,0,0,0,1,0.0,0,-17623,142,17765,45,False,0
Matheus Nunes,DEF,Man City,2.0,0,0,0,0,0,0.0,0,389,0.00,0.00,0.00,0.00,26,0,0,0.0,0.0,2026-09-05T14:00:00Z,0,False,7,0,0,0,0,0,3,0,103772,0,0,0,1,0.0,0,-37940,479,38419,59,True,0
Jair Paula da Cunha Filho,DEF,Nott'm Forest,1.5,0,0,24,1,10,0.7,12,474,0.01,0.04,0.03,1.06,28,0,0,2.2,20.0,2026-09-05T14:00:00Z,90,False,19,0,0,0,2,0,3,0,20256,1,2,0,0,1.0,8,-1070,924,1994,45,True,0
Rúben dos Santos Gato Alves Dias,DEF,Man City,3.2,0,0,25,1,3,6.6,3,390,0.03,0.03,0.00,1.37,26,0,0,2.7,20.6,2026-09-05T14:00:00Z,90,False,7,0,0,0,0,0,3,0,186055,1,0,0,1,0.0,6,-3537,20417,23954,55,True,0
Tyler Fredricson,DEF,Man Utd,0.0,0,0,0,0,0,0.0,0,425,0.00,0.00,0.00,0.00,30,0,0,0.0,0.0,2026-09-06T13:00:00Z,0,False,9,0,0,0,0,0,3,0,1561,0,0,2,2,0.0,0,-329,0,329,40,False,0
Luke Shaw,DEF,Man Utd,0.7,1,0,22,0,7,24.8,8,423,0.23,0.25,0.02,0.94,30,1,0,7.0,42.4,2026-09-06T13:00:00Z,90,False,9,0,0,0,1,0,3,0,1575355,1,1,2,2,3.0,4,-303431,30459,333890,45,False,1
Romaine Mundle,MID,Sunderland,0.0,0,0,0,0,0,0.0,0,547,0.00,0.00,0.00,0.00,22,0,0,0.0,0.0,2026-09-05T14:00:00Z,0,False,4,0,0,0,0,0,3,0,810,0,0,1,1,0.0,0,-51,83,134,50,False,0
Senne Lammens,GK,Man Utd,1.4,0,0,13,0,1,0.0,0,412,0.00,0.00,0.00,1.01,30,2,0,3.2,31.8,2026-09-06T13:00:00Z,90,False,9,0,0,0,14,0,3,4,1379189,1,0,2,2,0.0,2,-158382,32200,190582,50,False,0
Ilia Gruev,MID,Leeds,0.0,0,0,0,0,0,0.0,0,344,0.00,0.00,0.00,0.00,23,0,0,0.0,0.0,2026-09-05T14:00:00Z,0,False,5,0,0,0,0,0,3,0,350,0,0,1,1,0.0,0,-38,33,71,50,False,0
Giorgi Mamardashvili,GK,Liverpool,0.0,0,0,0,0,0,0.0,0,351,0.00,0.00,0.00,0.00,21,0,0,0.0,0.0,2026-09-04T19:00:00Z,0,False,12,0,0,0,0,0,3,0,14432,0,0,2,0,0.0,0,-1838,1002,2840,49,False,0
Antonín Kinský,GK,Spurs,3.6,0,0,24,1,2,10.0,0,496,0.00,0.00,0.00,0.92,28,0,0,2.0,10.4,2026-09-05T14:00:00Z,90,False,18,0,0,0,8,0,3,1,1949396,1,0,0,0,0.0,6,-225719,46420,272139,45,False,0
Vitaly Janelt,MID,Brentford,5.6,0,3,30,0,3,3.1,12,98,0.01,0.12,0.11,1.71,22,1,1,6.8,48.0,2026-09-05T14:00:00Z,90,False,20,0,0,0,5,0,3,0,69448,1,4,1,1,17.0,11,16015,29605,13590,50,True,1
Cristian Romero,DEF,Spurs,0.0,0,0,0,0,0,0.0,0,500,0.00,0.00,0.00,0.00,28,0,0,0.0,0.0,2026-09-05T14:00:00Z,0,False,18,0,0,0,0,0,3,0,11327,0,0,0,0,0.0,0,-3763,0,3763,50,False,0
Caoimhín Kelleher,GK,Brentford,4.0,0,0,10,0,2,0.0,0,82,0.00,0.00,0.00,1.71,22,1,0,1.7,16.8,2026-09-05T14:00:00Z,90,False,20,0,0,0,6,0,3,2,832099,1,0,1,1,0.0,2,54758,113703,58945,50,True,0
Guglielmo Vicario,GK,Spurs,0.0,0,0,0,0,0,0.0,0,494,0.00,0.00,0.00,0.00,28,0,0,0.0,0.0,2026-09-05T14:00:00Z,0,False,18,0,0,0,0,0,3,0,18205,0,0,0,0,0.0,0,-5759,0,5759,45,False,0
Gerónimo Rulli,GK,Man City,0.0,0,0,0,0,0,0.0,0,587,0.00,0.00,0.00,0.00,26,0,0,0.0,0.0,2026-09-05T14:00:00Z,0,False,7,0,0,0,0,0,3,0,2050,0,0,0,1,0.0,0,-193,147,340,50,True,0
Vitezslav Jaros,GK,Liverpool,0.0,0,0,0,0,0,0.0,0,354,0.00,0.00,0.00,0.00,21,0,0,0.0,0.0,2026-09-04T19:00:00Z,0,False,12,0,0,0,0,0,3,0,1744,0,0,2,0,0.0,0,213,549,336,40,False,0
Ellis Simms,FWD,Coventry City,0.6,0,0,3,0,0,10.0,0,195,0.00,0.30,0.30,0.95,26,0,0,5.0,5.0,2026-09-05T14:00:00Z,19,False,15,0,0,0,0,0,3,0,88094,0,0,0,1,35.0,1,-11944,10057,22001,50,False,0
Borna Sosa,DEF,Crystal Palace,0.0,0,0,0,0,0,0.0,0,205,0.00,0.00,0.00,0.00,24,0,0,0.0,0.0,2026-09-05T14:00:00Z,0,False,10,0,0,0,0,0,3,0,2568,0,0,3,2,0.0,0,-594,110,704,45,False,0
Ryan Gravenberch,MID,Liverpool,1.6,0,0,2,0,1,1.7,2,371,0.00,0.00,0.00,0.17,21,0,0,0.4,2.2,2026-09-04T19:00:00Z,26,False,12,0,0,0,1,0,3,0,168420,0,0,2,0,0.0,1,-34196,10774,44970,60,False,0
Wilson Isidor,FWD,Sunderland,2.8,1,0,15,0,0,0.3,2,553,0.01,0.11,0.10,0.45,22,0,0,1.1,0.2,2026-09-05T14:00:00Z,26,False,4,0,0,0,2,0,3,0,116229,0,0,1,1,10.0,4,21273,35830,14557,55,False,0
Yéremy Pino Santos,MID,Crystal Palace,2.4,1,0,25,0,1,42.6,5,211,0.30,0.55,0.25,3.01,24,2,0,5.7,8.0,2026-09-05T14:00:00Z,88,False,10,0,0,0,3,0,3,0,22762,1,1,3,2,6.0,5,2869,5451,2582,55,False,0
Harvey Elliott,MID,Liverpool,0.0,0,0,0,0,0,0.0,0,383,0.00,0.00,0.00,0.00,21,0,0,0.0,0.0,2026-09-04T19:00:00Z,0,False,12,0,0,0,0,0,3,0,5742,0,0,2,0,0.0,0,-1929,527,2456,54,False,0
Gabriel Gudmundsson,DEF,Leeds,1.6,0,0,9,0,2,1.2,5,331,0.00,0.00,0.00,2.19,23,1,0,1.6,12.6,2026-09-05T14:00:00Z,90,False,5,0,0,0,9,0,3,0,4932,1,3,1,1,2.0,2,253,644,391,45,False,0
Andrey Nascimento dos Santos,MID,Man Utd,0.8,0,0,4,0,4,0.6,4,162,0.01,0.01,0.00,0.09,30,1,0,1.4,7.2,2026-09-06T13:00:00Z,6,False,9,0,0,0,0,0,3,0,83163,0,0,2,2,6.0,1,-16957,7346,24303,49,False,0
Altay Bayındır,GK,Man Utd,0.0,0,0,0,0,0,0.0,0,413,0.00,0.00,0.00,0.00,30,0,0,0.0,0.0,2026-09-06T13:00:00Z,0,False,9,0,0,0,0,0,3,0,1465,0,0,2,2,0.0,0,-292,0,292,45,False,0
Tino Livramento,DEF,Newcastle,0.8,0,0,3,0,0,0.0,0,450,0.00,0.00,0.00,0.02,27,0,0,0.0,0.2,2026-09-05T11:30:00Z,1,False,3,0,0,0,0,0,3,0,2841,0,0,2,2,0.0,1,-745,115,860,49,True,0
Ali Al-Hamadi,FWD,Ipswich Town,0.0,0,0,0,0,0,0.0,0,322,0.00,0.00,0.00,0.00,21,0,0,0.0,0.0,2026-09-04T19:00:00Z,0,False,14,0,0,0,0,0,3,0,8170,0,0,2,0,0.0,0,-3877,0,3877,50,True,0
Jorge Cuenca Barreno,DEF,Fulham,0.6,0,0,0,0,0,0.0,0,255,0.00,0.00,0.00,0.00,24,0,0,0.0,0.0,2026-09-05T14:00:00Z,0,False,8,0,0,0,0,0,3,0,3459,0,0,3,2,0.0,0,-183,506,689,45,True,0
Igor Julio dos Santos de Paulo,DEF,Brighton,0.0,0,0,0,0,0,0.0,0,118,0.00,0.00,0.00,0.00,23,0,0,0.0,0.0,2026-09-05T14:00:00Z,0,False,13,0,0,0,0,0,3,0,7052,0,0,1,1,0.0,0,-1451,444,1895,45,True,0
Ryan Christie,MID,Bournemouth,0.6,0,0,3,0,0,0.0,0,75,0.00,0.00,0.00,0.00,27,0,0,0.0,0.0,2026-09-05T11:30:00Z,1,False,17,0,0,0,0,0,3,0,2833,0,0,2,2,0.0,1,522,1038,516,50,False,0
Harry Maguire,DEF,Man Utd,1.6,0,0,1,0,12,1.3,12,418,0.01,0.01,0.00,1.01,30,2,0,3.0,26.8,2026-09-06T13:00:00Z,90,False,9,0,0,0,2,0,3,0,1407635,1,0,2,2,2.0,2,-240933,49780,290713,50,False,1
Óscar Zambrano,MID,Hull City,0.0,0,0,0,0,0,0.0,0,294,0.00,0.00,0.00,0.00,25,0,0,0.0,0.0,2026-09-05T16:30:00Z,0,False,2,0,0,0,0,0,3,0,9216,0,0,0,0,0.0,0,-1263,645,1908,45,True,0
Toby Collyer,MID,Man Utd,0.0,0,0,0,0,0,0.0,0,436,0.00,0.00,0.00,0.00,30,0,0,0.0,0.0,2026-09-06T13:00:00Z,0,False,9,0,0,0,0,0,3,0,1461,0,0,2,2,0.0,0,-291,90,381,50,False,0
Regan Slater,MID,Hull City,3.0,0,0,10,1,3,12.3,6,290,0.01,0.05,0.04,1.93,25,0,0,3.1,10.6,2026-09-05T16:30:00Z,90,False,2,0,0,0,2,0,3,0,523606,1,1,0,0,8.0,3,91326,157568,66242,45,True,0
Jaka Bijol,DEF,Leeds,2.4,0,0,1,0,2,0.0,4,327,0.00,0.00,0.00,1.95,23,1,0,0.6,6.2,2026-09-05T14:00:00Z,29,False,5,0,0,0,0,0,3,0,95603,0,2,1,1,0.0,1,-2619,14908,17527,50,False,0
Eliot Matazo,MID,Hull City,0.0,0,0,0,0,0,0.0,0,291,0.00,0.00,0.00,0.00,25,0,0,0.0,0.0,2026-09-05T16:30:00Z,0,False,2,0,0,0,0,0,3,0,637,0,0,0,0,0.0,0,-33,103,136,45,True,0
Dango Ouattara,MID,Brentford,1.4,0,0,6,0,3,11.3,11,95,0.01,0.01,0.00,0.35,22,0,0,1.8,6.8,2026-09-05T14:00:00Z,45,False,20,0,0,0,7,0,3,0,85265,1,1,1,1,0.0,1,-24974,4607,29581,65,True,0
Veljko Milosavljevic,DEF,Bournemouth,0.0,0,0,0,0,0,0.0,0,63,0.00,0.00,0.00,0.00,27,0,0,0.0,0.0,2026-09-05T11:30:00Z,0,False,17,0,0,0,0,0,3,0,919,0,0,2,2,0.0,0,-154,88,242,50,False,0
Kjell Scherpen,GK,Ipswich Town,1.4,0,0,13,0,0,0.0,0,564,0.00,0.00,0.00,0.69,21,2,0,2.8,27.8,2026-09-04T19:00:00Z,90,False,14,0,0,0,7,0,3,5,58738,1,0,2,0,0.0,2,-2758,4399,7157,45,True,0
Jurriën Timber,DEF,Arsenal,0.2,0,0,0,0,0,0.0,0,5,0.00,0.00,0.00,0.00,29,0,0,0.0,0.0,2026-09-06T15:30:00Z,0,False,6,0,0,0,0,0,3,0,8594,0,0,1,2,0.0,0,-1892,549,2441,65,True,0
Loum Tchaouna,MID,Coventry City,0.8,0,0,9,0,0,24.8,1,190,0.03,0.13,0.10,0.95,26,0,0,5.4,8.2,2026-09-05T14:00:00Z,27,False,15,0,0,0,1,0,3,0,12425,0,0,0,1,21.0,1,-3624,128,3752,55,False,0
Richarlison de Andrade,FWD,Spurs,0.0,0,0,0,0,0,0.0,0,527,0.00,0.00,0.00,0.00,28,0,0,0.0,0.0,2026-09-05T14:00:00Z,0,False,18,0,0,0,0,0,3,0,153916,0,0,0,0,0.0,0,-117513,6716,124229,59,False,0
Dominic Solanke-Mitchell,FWD,Spurs,1.4,0,0,-1,0,1,0.3,1,526,0.00,0.17,0.17,0.04,28,0,0,0.4,0.0,2026-09-05T14:00:00Z,6,False,18,0,0,0,0,0,3,0,106592,0,0,0,0,4.0,1,-27806,7532,35338,59,False,0
John Egan,DEF,Hull City,5.2,0,0,18,1,4,0.1,7,277,0.00,0.00,0.00,1.93,25,0,0,1.6,15.4,2026-09-05T16:30:00Z,90,False,2,0,0,0,1,0,3,0,623541,1,3,0,0,0.0,6,278040,335706,57666,40,True,0
Nikola Milenković,DEF,Nott'm Forest,0.0,0,0,27,1,9,0.8,11,471,0.01,0.01,0.00,1.06,28,0,0,3.1,28.6,2026-09-05T14:00:00Z,90,False,19,0,0,0,3,0,3,0,168090,1,2,0,0,2.0,7,-12221,5627,17848,55,True,1
Joao Gomes,MID,Aston Villa,0.4,0,0,0,0,0,0.0,0,54,0.00,0.00,0.00,0.00,25,0,0,0.0,0.0,2026-09-05T16:30:00Z,0,False,11,0,0,0,0,0,3,0,4112,0,0,0,0,0.0,0,-1095,90,1185,55,False,0
Quinten Timber,MID,Crystal Palace,2.0,0,0,8,0,2,0.2,6,644,0.00,0.02,0.02,2.57,24,2,0,0.5,4.2,2026-09-05T14:00:00Z,73,False,10,0,0,0,3,0,3,0,782,1,1,3,2,1.0,2,556,656,100,50,False,0
Matt Crooks,MID,Hull City,0.6,0,0,0,0,0,0.0,0,289,0.00,0.00,0.00,0.00,25,0,0,0.0,0.0,2026-09-05T16:30:00Z,0,False,2,0,0,0,0,0,3,0,57596,0,0,0,0,0.0,0,-12365,2885,15250,45,True,0
Fábio Freitas Gouveia Carvalho,MID,Brentford,1.2,0,0,0,0,0,0.0,0,100,0.00,0.00,0.00,0.00,22,0,0,0.0,0.0,2026-09-05T14:00:00Z,0,False,20,0,0,0,0,0,3,0,2107,0,0,1,1,0.0,0,185,543,358,50,True,0
Nathan Collins,DEF,Brentford,0.0,0,0,4,0,1,0.0,1,84,0.00,0.00,0.00,0.10,22,0,0,0.1,1.0,2026-09-05T14:00:00Z,16,False,20,0,0,0,0,0,3,0,271484,1,0,1,1,0.0,1,11591,32175,20584,55,True,0
