assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element_code,end_cost,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,saves,season_name,start_cost,starts,tackles,threat,total_points,yellow_cards
0,0,0,0,0,0.0,0,172850,40,0.00,0.00,0.00,0.00,0,0,0.0,0.0,0,0,0,0,0,0,0,2015/16,40,0,0,0.0,0,0
0,0,136,1,0,48.4,0,172850,43,0.00,0.00,0.00,0.00,18,1,27.2,137.0,699,0,0,0,0,0,0,2016/17,45,0,0,88.0,19,2
2,4,381,6,0,332.1,0,172850,44,0.00,0.00,0.00,0.00,30,0,78.0,382.8,1848,0,0,0,0,1,0,2017/18,45,0,0,63.0,65,1
5,8,578,10,0,674.6,0,172850,50,0.00,0.00,0.00,0.00,43,0,170.0,721.0,3240,0,0,0,0,0,0,2018/19,50,0,0,298.0,118,4
3,8,501,9,0,545.4,0,172850,54,0.00,0.00,0.00,0.00,26,3,130.0,546.0,2374,0,0,0,0,0,0,2019/20,55,0,0,208.0,114,3
6,11,549,12,0,535.8,0,172850,59,0.00,0.00,0.00,0.00,23,3,148.5,545.0,2286,0,0,0,0,0,0,2020/21,55,0,0,408.0,139,3
1,5,161,4,0,161.1,0,172850,56,0.00,0.00,0.00,0.00,2,3,54.0,175.8,541,0,0,0,0,0,0,2021/22,60,0,0,202.0,55,0
3,4,302,4,0,382.6,0,172850,56,2.49,4.06,1.57,18.25,19,2,84.2,283.4,1402,0,0,0,0,0,0,2022/23,60,15,0,178.0,70,3
2,2,123,1,0,212.8,0,172850,54,1.62,2.73,1.11,12.50,14,0,48.0,128.4,752,0,0,0,0,0,0,2023/24,55,9,0,139.0,24,5
0,0,54,0,0,69.2,26,172850,46,0.88,1.13,0.25,2.84,4,1,20.7,99.6,254,0,0,0,0,0,0,2024/25,50,1,0,37.0,13,1
