assists,birth_date,bonus,bps,can_select,can_transact,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,clearances_blocks_interceptions,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,defensive_contribution,defensive_contribution_per_90,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,has_temporary_code,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,known_name,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,opta_code,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,price_change_calibrating,price_change_hourly_rate,price_change_locked_until,price_change_percent,price_change_projections,recoveries,red_cards,region,removed,saves,saves_per_90,scout_news_link,scout_risks,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,tackles,team,team_code,team_join_date,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,1995-09-15,3,104,True,True,None,None,3,0.6,6,154561,None,,0,0,0,0,0.2,374,4,0,0.0,None,,1,1,6.0,6.0,1,0.01,0.0,0.01,0.0,0.00,4.02,0.8,0.0,David,6.0,15,2,4,0.8,0,False,8.5,198,13,1,False,84.0,73,12,,450,,None,60,64,1,p154561,0,0,None,1,,154561.jpg,6.0,31,2,False,124,None,98.3,"[{'offset': 0, 'projected_percent': '98.7', 'likelihood': 4}, {'offset': 1, 'projected_percent': '100.4', 'likelihood': 5}, {'offset': 2, 'projected_percent': '102.1', 'likelihood': 5}]",58,0,200,False,9,1.8,,[],Raya Martín,41.6,4,1,False,None,5,1.0,a,1,1,3,2024-07-04,0.0,648,72,30,869265,28866,597383,4979,1.0,5.0,Raya,0
0,1994-10-03,0,0,True,True,None,None,0,0,0,109745,None,,0,0,-1,1,0.0,537,55,0,0,None,,0,1,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Kepa,0.0,559,67,0,0,0,False,0.0,542,67,2,False,0.0,537,67,,0,,None,49,348,16,p109745,0,0,None,0,,109745.jpg,0.0,559,67,False,-4,None,-36.3,"[{'offset': 0, 'projected_percent': '-38.5', 'likelihood': -2}, {'offset': 1, 'projected_percent': '-46.7', 'likelihood': -3}, {'offset': 2, 'projected_percent': '-54.9', 'likelihood': -3}]",0,0,200,False,0,0,,[],Arrizabalaga Revuelta,0.1,464,52,False,None,0,0,a,0,1,3,2025-07-01,0.0,496,53,0,1402,25,4053,40,0.0,0.0,Arrizabalaga,0
0,2000-03-02,0,0,True,True,None,None,0,0,0,437495,None,,0,0,-1,1,0.0,549,57,0,0,None,,0,1,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Illan,0.0,568,68,0,0,0,False,0.0,555,68,3,False,0.0,550,68,,0,,None,49,375,18,p437495,0,0,None,0,,437495.jpg,0.0,568,68,False,0,None,-24.4,"[{'offset': 0, 'projected_percent': '-24.4', 'likelihood': -2}, {'offset': 1, 'projected_percent': '-24.4', 'likelihood': -2}, {'offset': 2, 'projected_percent': '-24.4', 'likelihood': -2}]",0,0,73,False,0,0,,[],Meslier,0.0,541,61,False,None,0,0,a,0,1,3,2026-07-09,0.0,512,55,0,474,7,1476,16,0.0,0.0,Meslier,0
0,1997-12-19,2,91,True,True,None,None,3,0.6,35,226597,None,,0,0,0,0,8.9,252,87,41,8.2,None,,0,2,5.0,5.0,1,0.11,0.02,0.62,0.12,0.51,4.02,0.8,0.1,Gabriel,5.0,38,16,4,0.8,0,False,16.1,89,24,4,False,69.0,101,45,Gabriel Magalhães,450,,None,80,8,1,p226597,0,0,None,0,,226597.jpg,5.0,56,23,False,-1025,None,-77.1,"[{'offset': 0, 'projected_percent': '-78.9', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-85.2', 'likelihood': -3}, {'offset': 2, 'projected_percent': '-91.5', 'likelihood': -3}]",17,0,30,False,0,0.0,,[],dos Santos Magalhães,23.0,13,4,False,None,5,1.0,a,6,1,3,2020-09-01,84.0,33,3,25,213616,3373,855043,12152,0.6,3.1,Gabriel,2
0,2001-06-17,0,-3,True,True,100,100,0,0.0,2,445122,None,,0,0,0,0,1.9,316,115,5,4.33,None,,0,2,0.2,0.2,0,0.03,0.03,0.03,0.03,0.00,2.26,1.96,0.0,Jurriën,0.2,414,145,3,2.6,0,False,0.8,362,131,5,False,6.0,329,127,Jurriën Timber,104,,2026-07-23T12:01:23.272929Z,65,39,3,p445122,0,0,None,0,,445122.jpg,0.5,413,144,False,64,None,7.6,"[{'offset': 0, 'projected_percent': '7.9', 'likelihood': 1}, {'offset': 1, 'projected_percent': '8.7', 'likelihood': 1}, {'offset': 2, 'projected_percent': '9.6', 'likelihood': 1}]",7,0,152,False,0,0.0,,[],Timber,0.3,292,105,False,None,1,0.87,a,3,1,3,2023-07-14,0.0,657,216,1,23896,2240,11267,514,0.0,0.2,J.Timber,0
0,2001-03-24,0,0,True,True,0,0,0,0,0,462424,None,,0,0,-1,1,0.0,649,216,0,0,None,,0,2,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,William,0.0,649,216,0,0,0,False,0.0,648,216,6,False,0.0,646,216,,0,Back injury - Unknown return date,2026-07-23T12:01:23.289376Z,59,88,8,p462424,0,0,None,0,,462424.jpg,0.0,649,216,False,-14,None,-18.1,"[{'offset': 0, 'projected_percent': '-19.0', 'likelihood': -1}, {'offset': 1, 'projected_percent': '-22.6', 'likelihood': -2}, {'offset': 2, 'projected_percent': '-26.2', 'likelihood': -2}]",0,0,73,False,0,0,https://www.arsenal.com/news/arteta-issues-update-on-bruno-timber-and-saliba-aKfIr6V2lm7B?utm_source=premier-league-web&utm_medium=referral&utm_campaign=pl-referral-always-on&utm_content=home&utm_term=live-bar,[],Saliba,0.2,328,121,False,None,0,0,i,0,1,3,2019-07-25,0.0,643,215,0,3141,59,17756,203,0.0,0.0,Saliba,0
0,2006-09-26,0,37,True,True,None,None,2,0.66,5,499169,None,,0,0,0,0,40.2,129,81,14,4.65,None,,0,3,1.8,1.8,0,0.23,0.08,0.39,0.13,0.16,1.02,0.34,0.05,Myles,1.8,185,86,1,0.33,0,False,7.0,221,101,7,False,21.6,252,105,,271,,None,55,157,98,p499169,0,0,None,0,,499169.jpg,2.2,199,88,False,-182,None,-104.3,"[{'offset': 0, 'projected_percent': '-116.5', 'likelihood': -5}, {'offset': 1, 'projected_percent': '-160.3', 'likelihood': -5}, {'offset': 2, 'projected_percent': '-204.1', 'likelihood': -5}]",8,0,241,False,0,0.0,,[],Lewis-Skelly,0.6,234,76,False,None,4,1.33,a,1,1,3,2022-12-04,16.0,175,90,9,28851,174,45773,969,0.3,1.6,Lewis-Skelly,0
2,2002-05-19,2,77,True,True,None,None,3,0.65,13,466075,None,,0,0,3,-3,29.0,160,48,18,3.89,None,,1,2,5.8,5.8,1,0.62,0.13,1.27,0.27,0.65,3.75,0.81,0.14,Riccardo,5.8,16,8,4,0.87,0,False,13.6,121,43,8,False,60.4,121,58,,416,,None,58,106,11,p466075,0,0,None,0,,466075.jpg,5.8,33,13,False,-852,None,87.3,"[{'offset': 0, 'projected_percent': '84.1', 'likelihood': 3}, {'offset': 1, 'projected_percent': '72.4', 'likelihood': 3}, {'offset': 2, 'projected_percent': '60.8', 'likelihood': 3}]",13,0,106,False,0,0.0,,[],Calafiori,50.7,3,1,False,None,5,1.08,a,5,1,3,2024-07-29,46.0,86,18,29,1594380,14372,346236,7729,1.0,5.0,Calafiori,0
0,2002-01-09,0,6,True,True,None,None,0,0.0,2,448104,None,,0,0,-2,2,1.0,336,124,3,8.44,None,,0,2,0.4,0.4,0,0.00,0.0,0.00,0.0,0.00,0.28,0.79,0.0,Piero,0.4,360,128,0,0.0,0,False,1.0,348,127,9,False,6.4,327,126,,32,,None,53,227,31,p448104,0,0,None,0,,448104.jpg,1.0,359,133,False,-144,None,-91.7,"[{'offset': 0, 'projected_percent': '-98.0', 'likelihood': -4}, {'offset': 1, 'projected_percent': '-120.6', 'likelihood': -5}, {'offset': 2, 'projected_percent': '-143.3', 'likelihood': -5}]",0,0,62,False,0,0.0,,[],Hincapié,0.9,192,71,False,None,0,0.0,a,1,1,3,2026-07-01,2.0,308,117,2,15034,215,112659,948,0.1,0.4,Hincapie,0
1,1997-10-08,3,78,True,True,100,100,2,0.57,12,198869,None,,0,0,0,0,53.0,83,20,18,5.14,None,,0,2,4.2,4.2,0,0.29,0.08,0.47,0.13,0.18,1.15,0.33,0.05,Benjamin,4.2,56,24,1,0.29,0,False,15.2,97,30,10,False,69.6,98,44,,315,,2026-09-15T19:30:09.494382Z,55,131,15,p198869,0,0,None,0,,198869.jpg,5.2,50,20,False,-1766,None,-30.9,"[{'offset': 0, 'projected_percent': '-43.7', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-89.8', 'likelihood': -3}, {'offset': 2, 'projected_percent': '-135.9', 'likelihood': -5}]",9,0,241,False,0,0.0,,[],White,5.5,71,29,False,None,4,1.14,a,6,1,3,2021-07-30,29.0,125,35,21,454126,1368,511079,12298,0.8,3.8,White,0
